player_name,week,clay_points,grass_points,hard_points,RUNNING_WK
Abedallah Shelbayh,1,0,0,0,1145
Abedallah Shelbayh,2,0,0,0,1146
Abedallah Shelbayh,3,0,0,0,1147
Abedallah Shelbayh,4,0,0,0,1148
Abedallah Shelbayh,5,0,0,0,1149
Abedallah Shelbayh,6,0,0,0,1150
Abedallah Shelbayh,7,0,0,0,1151
Abedallah Shelbayh,8,0,0,20,1152
Abedallah Shelbayh,9,0,0,20,1153
Abedallah Shelbayh,10,0,0,0,1154
Abedallah Shelbayh,11,0,0,0,1155
Abedallah Shelbayh,12,0,0,0,1156
Abedallah Shelbayh,13,0,0,0,1157
Abedallah Shelbayh,14,20,0,0,1158
Abedallah Shelbayh,15,0,0,0,1159
Abedallah Shelbayh,16,0,0,0,1160
Abedallah Shelbayh,17,0,0,0,1161
Abedallah Shelbayh,18,0,0,0,1162
Abedallah Shelbayh,19,0,0,0,1163
Abedallah Shelbayh,20,0,0,0,1164
Abedallah Shelbayh,21,0,0,0,1165
Abedallah Shelbayh,22,0,0,0,1166
Abedallah Shelbayh,23,0,0,0,1167
Abedallah Shelbayh,24,0,0,0,1168
Abedallah Shelbayh,25,0,0,0,1169
Abedallah Shelbayh,26,0,0,0,1170
Abedallah Shelbayh,27,0,0,0,1171
Abedallah Shelbayh,28,0,0,0,1172
Abedallah Shelbayh,29,0,0,0,1173
Abedallah Shelbayh,30,0,0,0,1174
Abedallah Shelbayh,31,0,0,0,1175
Abedallah Shelbayh,32,0,0,0,1176
Abedallah Shelbayh,33,0,0,0,1177
Abedallah Shelbayh,34,0,0,0,1178
Abedallah Shelbayh,35,0,0,0,1179
Abedallah Shelbayh,36,0,0,0,1180
Abedallah Shelbayh,37,0,0,0,1181
Abedallah Shelbayh,38,0,0,0,1182
Abedallah Shelbayh,39,0,0,0,1183
Abedallah Shelbayh,40,0,0,0,1184
Abedallah Shelbayh,41,0,0,0,1185
Abedallah Shelbayh,42,0,0,0,1186
Abedallah Shelbayh,43,0,0,0,1187
Abedallah Shelbayh,44,0,0,0,1188
Abedallah Shelbayh,45,0,0,0,1189
Abedallah Shelbayh,46,0,0,0,1190
Abedallah Shelbayh,47,0,0,0,1191
Abedallah Shelbayh,48,0,0,0,1192
Abedallah Shelbayh,49,0,0,0,1193
Abedallah Shelbayh,50,0,0,0,1194
Abedallah Shelbayh,51,0,0,0,1195
Abedallah Shelbayh,52,0,0,0,1196
Adam Neff,1,0,0,0,1145
Adam Neff,2,0,0,0,1146
Adam Neff,3,0,0,0,1147
Adam Neff,4,0,0,0,1148
Adam Neff,5,0,0,0,1149
Adam Neff,6,0,0,20,1150
Adam Neff,7,0,0,0,1151
Adam Neff,8,0,0,0,1152
Adam Neff,9,0,0,0,1153
Adam Neff,10,0,0,0,1154
Adam Neff,11,0,0,0,1155
Adam Neff,12,0,0,0,1156
Adam Neff,13,0,0,0,1157
Adam Neff,14,0,0,0,1158
Adam Neff,15,0,0,0,1159
Adam Neff,16,0,0,0,1160
Adam Neff,17,0,0,0,1161
Adam Neff,18,0,0,0,1162
Adam Neff,19,0,0,0,1163
Adam Neff,20,0,0,0,1164
Adam Neff,21,0,0,0,1165
Adam Neff,22,0,0,0,1166
Adam Neff,23,0,0,0,1167
Adam Neff,24,0,0,0,1168
Adam Neff,25,0,0,0,1169
Adam Neff,26,0,0,0,1170
Adam Neff,27,0,0,0,1171
Adam Neff,28,0,0,0,1172
